replicate	esmchalo_ap	deepsaltpro_ap	delta_ap	esmchalo_auroc	deepsaltpro_auroc	delta_auroc	esmchalo_mcc	deepsaltpro_mcc	delta_mcc	esmchalo_accuracy	deepsaltpro_accuracy	delta_accuracy	esmchalo_balanced_accuracy	deepsaltpro_balanced_accuracy	delta_balanced_accuracy	esmchalo_sensitivity	deepsaltpro_sensitivity	delta_sensitivity	esmchalo_specificity	deepsaltpro_specificity	delta_specificity	esmchalo_ppv	deepsaltpro_ppv	delta_ppv	esmchalo_f1	deepsaltpro_f1	delta_f1	esmchalo_brier	deepsaltpro_brier	delta_brier	esmchalo_ece_10_bins	deepsaltpro_ece_10_bins	delta_ece_10_bins	esmchalo_log_loss	deepsaltpro_log_loss	delta_log_loss
2717	0.9911649369128838	0.9890099552187928	0.002154981694091007	0.9865210900809606	0.9817726588672291	0.004748431213731474	0.8711397901205395	0.8428242737958427	0.028315516324696866	0.9387755102040817	0.9253490870032224	0.013426423200859294	0.933794374283407	0.9195823753536807	0.014211998929726244	0.9567519858781994	0.9461606354810238	0.010591350397175625	0.9108367626886146	0.8930041152263375	0.017832647462277085	0.9434290687554395	0.9321739130434783	0.011255155711961229	0.9500438212094654	0.9391151992991678	0.010928621910297642	0.04450008651758873	0.058833815132941183	-0.014333728615352453	0.025626830603405915	0.07508848614017372	-0.049461655536767804	0.1486503751649938	0.21776124900723742	-0.06911087384224363
2718	0.9913483242367515	0.9875190119187258	0.003829312318025635	0.9861559942709495	0.9797947809981694	0.006361213272780053	0.862098533799433	0.8536456582378117	0.008452875561621331	0.9340482573726542	0.9297587131367292	0.00428954423592498	0.9297297653920249	0.9273012765610343	0.0024284888309905606	0.9509803921568627	0.9393939393939394	0.01158645276292325	0.9084791386271871	0.9152086137281292	-0.006729475100942128	0.9400881057268723	0.9435989256938228	-0.0035108199669504625	0.9455028799291094	0.9414917373827602	0.004011142546349267	0.04775015943437204	0.060956327635601465	-0.013206168201229426	0.029284354973598097	0.08145280046108859	-0.05216844548749049	0.1545767955983432	0.22633814950029507	-0.07176135390195187
2719	0.9934646254011941	0.9892192667422752	0.004245358658918841	0.9902838558964054	0.9837046349227473	0.006579220973658151	0.9033828551010908	0.8723548436693254	0.03102801143176548	0.9533762057877814	0.9383708467309754	0.015005359056806	0.9502601626209468	0.935547517850162	0.014712644770784822	0.9673617407071623	0.9510426110607434	0.016319129646418906	0.9331585845347313	0.9200524246395806	0.013106159895150737	0.9543828264758497	0.945045045045045	0.00933778143080466	0.9608284556506078	0.9480343425214641	0.012794113129143692	0.03693392033741838	0.056467269121794644	-0.019533348784376264	0.023627984067689588	0.08602892434147623	-0.06240094027378664	0.12686813946079722	0.21405803724176467	-0.08718989778096745
2720	0.9918938834546607	0.9898817364599105	0.0020121469947501636	0.9871350310035519	0.9841695262175667	0.002965504785985229	0.8751150030799909	0.8486220920424857	0.026492911037505174	0.9404825737265415	0.9276139410187667	0.01286863270777483	0.9363795075552346	0.9248088615977365	0.011570645957498127	0.9557522123893806	0.9380530973451328	0.017699115044247815	0.9170068027210885	0.9115646258503401	0.0054421768707483276	0.9465381244522348	0.9422222222222222	0.004315902230012658	0.9511228533685601	0.9401330376940134	0.01098981567454671	0.04448248559988164	0.0564551245561208	-0.011972638956239158	0.02453341839236956	0.0743690297792568	-0.04983561138688724	0.14595731572191364	0.21129778032270227	-0.06534046460078863
2721	0.9919177507124228	0.9893428366787389	0.0025749140336839282	0.9879901116152624	0.9835700132100397	0.004420098405222728	0.8875704370368008	0.8740292609368816	0.013541176099919228	0.9457281031703385	0.939279957012359	0.006448146157979506	0.9438770748377463	0.9363662579212375	0.007510816916508789	0.9538043478260869	0.9519927536231884	0.0018115942028985588	0.9339498018494056	0.9207397622192867	0.013210039630118908	0.9546690843155031	0.945994599459946	0.008674484855557107	0.9542365201631173	0.9489841986455982	0.005252321517519087	0.040411615632907356	0.055559404617664905	-0.015147788984757549	0.01519611206392071	0.08356277570428702	-0.06836666364036631	0.13937140982228677	0.2118492490458991	-0.07247783922361234
2722	0.9920733723814005	0.9912138906297993	0.000859481751601221	0.9879006014220769	0.985880772599817	0.002019828822259928	0.8886082713302439	0.8698252819185073	0.018782989411736617	0.9471127900701565	0.937938478143551	0.00917431192660545	0.9422299595300198	0.9354443868088418	0.006785572721177968	0.9645704162976085	0.9468556244464128	0.017714791851195733	0.919889502762431	0.9240331491712708	-0.004143646408839796	0.949433304272014	0.951067615658363	-0.0016343113863489522	0.9569420035149385	0.9489569462938304	0.007985057221108094	0.040367587738470316	0.05257952341663902	-0.012211935678168702	0.020813917672055125	0.08008101377807081	-0.05926709610601569	0.138461464088251	0.20412087804300788	-0.06565941395475688
2723	0.9919847235256622	0.9898849886075178	0.0020997349181444136	0.988038153666867	0.9848839631080094	0.0031541905588575725	0.890155160838295	0.8713037045680814	0.018851456270213673	0.9472551130247578	0.9381054897739505	0.00914962325080737	0.9423806433826407	0.9353661810577614	0.007014462324879345	0.9675383228133454	0.9495040577096483	0.0180342651036971	0.9172229639519359	0.9212283044058746	-0.004005340453938633	0.945374449339207	0.9469424460431655	-0.001567996703958463	0.9563279857397504	0.9482215218370104	0.008106463902740058	0.04141365450543985	0.05466551455674973	-0.013251860051309877	0.015878377972464275	0.08317737777835699	-0.06729899980589271	0.1410830582255149	0.20965336747251145	-0.06857030924699656
2724	0.993681280652194	0.9909267917773737	0.0027544888748202156	0.9897687001345538	0.9847809710614589	0.00498772907309486	0.8915817960300683	0.86727531751206	0.024306478518008268	0.9484590860786397	0.936769394261424	0.011689691817215686	0.9431782648246063	0.9333224363712169	0.009855828453389393	0.9676573426573427	0.9493006993006993	0.018356643356643443	0.9186991869918699	0.9173441734417345	0.0013550135501354532	0.9485861182519281	0.946817785527463	0.0017683327244650826	0.9580268282128949	0.9480576167612397	0.009969211451655191	0.038675665035283385	0.0537995929952958	-0.015123927960012412	0.020749516492428167	0.0831629429151097	-0.06241342642268154	0.13167131131056928	0.20774703287804386	-0.07607572156747458
2725	0.9911275538142311	0.9893115562814663	0.0018159975327648459	0.9867711516104402	0.9838855051484445	0.002885646461995628	0.8785635392870483	0.880649607168763	-0.002086067881714615	0.9408602150537635	0.9419354838709677	-0.0010752688172042113	0.9394382370718882	0.9400046787847984	-0.000566441712910204	0.9481961147086031	0.9518963922294172	-0.0037002775208141436	0.9306803594351734	0.9281129653401797	0.0025673940949936247	0.9499536607970342	0.9483870967741935	0.0015665640228407218	0.9490740740740741	0.9501385041551247	-0.0010644300810506158	0.04473805445600328	0.05598132932402077	-0.011243274868017489	0.018871731140336905	0.09039160798674305	-0.07151987684640615	0.1500314542502688	0.2146054612407161	-0.06457400699044732
2726	0.9902233715148747	0.985789391106622	0.0044339804082527134	0.9861123689767435	0.978408272995505	0.007704095981238446	0.879105695089696	0.8504958323318375	0.028609862757858595	0.9413663259817105	0.9273803119956966	0.013986013986013957	0.9387884847300408	0.9253274687665343	0.013461015963506573	0.954001839926403	0.937442502299908	0.016559337626494974	0.9235751295336787	0.9132124352331606	0.01036269430051806	0.9461678832116789	0.9383057090239411	0.007862174187737825	0.9500687127805771	0.9378739070409572	0.012194805739619952	0.044503415451533496	0.061937605530661556	-0.01743419007912806	0.012832347076734335	0.07640767790439258	-0.06357533082765825	0.1515519625199239	0.2280303681491803	-0.0764784056292564
2727	0.9902601512208679	0.9864683279248485	0.0037918232960193476	0.9866371756458816	0.981055787966156	0.005581387679725602	0.8781178902157633	0.8440783683507889	0.03403952186497439	0.9403866809881848	0.9237379162191193	0.016648764769065516	0.93781328320802	0.9212092731829574	0.01660401002506262	0.9558270676691729	0.9389097744360902	0.016917293233082664	0.9197994987468672	0.9035087719298246	0.016290726817042578	0.940795559666975	0.9284386617100372	0.01235689795693784	0.9482517482517483	0.9336448598130841	0.0146068884386642	0.04488092404424657	0.06049966517729147	-0.0156187411330449	0.020486673067105752	0.07323254969618234	-0.05274587662907659	0.15079532633813236	0.22267589547574887	-0.0718805691376165
2728	0.9908675460260995	0.9898149036445338	0.0010526423815656605	0.9861665125062627	0.9842563687516861	0.0019101437545766542	0.8766904290739455	0.855145118189503	0.021545310884442448	0.9408602150537635	0.9306451612903226	0.010215053763440896	0.9379480286738351	0.9260752688172043	0.011872759856630832	0.9525089605734767	0.9489247311827957	0.0035842293906809264	0.9233870967741935	0.9032258064516129	0.020161290322580627	0.9491071428571428	0.9363395225464191	0.01276762031072376	0.9508050089445438	0.9425901201602136	0.008214888784330188	0.04415247277597253	0.05572069235108292	-0.011568219575110394	0.015204921028011215	0.07806716174097553	-0.06286224071296431	0.1499739186871291	0.21147755958323539	-0.0615036408961063
2729	0.991962586868183	0.9875332639131943	0.004429322954988657	0.987897609369226	0.9812139344495295	0.0066836749196964584	0.882425567282549	0.8462375119241726	0.036188055358376325	0.9433155080213904	0.925668449197861	0.01764705882352946	0.9402816073983532	0.9235457706775823	0.016735836720770947	0.9566787003610109	0.9350180505415162	0.02166064981949467	0.9238845144356955	0.9120734908136483	0.011811023622047223	0.9481216457960644	0.9392565729827742	0.008865072813290187	0.9523809523809523	0.9371325192220714	0.015248433158880914	0.042783465065343425	0.06023930684682015	-0.017455841781476723	0.019283697614353945	0.0756099839525964	-0.05632628633824245	0.14293887595175173	0.22260896374456823	-0.07967008779281651
2730	0.9937335651002996	0.9909616031614058	0.002771961938893841	0.9903436551305405	0.9855057680631453	0.004837887067395186	0.8983671974311341	0.8724060819475482	0.025961115483585928	0.9515347334410339	0.9391491653204093	0.012385568120624635	0.9483078324225865	0.9354608378870675	0.012846994535519074	0.9635555555555556	0.9528888888888889	0.010666666666666713	0.9330601092896175	0.9180327868852459	0.015027322404371546	0.9567519858781994	0.9469964664310954	0.009755519447104066	0.9601417183348095	0.9499335400974745	0.010208178237334997	0.03736002067852408	0.05230648246294114	-0.01494646178441706	0.022179209235183156	0.07834999862989116	-0.056170789394708	0.12739953837576418	0.20347814043768572	-0.07607860206192155
2731	0.9910368276901238	0.9895104129241731	0.0015264147659507232	0.9867065217391304	0.9841908212560387	0.0025157004830916874	0.8901976537940961	0.8623865914553954	0.027811062338700676	0.9471413160733549	0.9336569579288025	0.0134843581445524	0.9447137681159421	0.9314673913043479	0.01324637681159424	0.957427536231884	0.9429347826086957	0.01449275362318836	0.932	0.92	0.01200000000000001	0.953971119133574	0.9455040871934605	0.008467031940113556	0.9556962025316456	0.9442176870748299	0.011478515456815663	0.041281602581929776	0.05632117529219293	-0.015039572710263155	0.015998138835500372	0.07882425937873938	-0.06282612054323901	0.14425718837054632	0.21140503192518745	-0.06714784355464112
