n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	fold	shared_groups
2113	0.8395646000946522	0.6669865803950811	0.9214490347999323	0.9499110979557106	0.868421052631579	0.7974388824214202	0.8622327790973872	0.12573901975902071	685	174	165	1089	layer30_mean	rbf_svm	3	0
2113	0.8230004732607666	0.6311147138405836	0.9186065071734814	0.9462892010976374	0.8667198723064645	0.7593023255813953	0.839907192575406	0.12789408195738233	653	207	167	1086	layer30_mean	rbf_svm	4	0
2114	0.8070009460737938	0.6011876490001747	0.8913996142576315	0.9301720148808785	0.8317384370015949	0.7709302325581395	0.8411290322580646	0.132186519430712	663	197	211	1043	layer30_mean	catboost	0	0
2114	0.8107852412488175	0.6047530440838259	0.8998711101220283	0.9346633011620522	0.8636363636363636	0.7337209302325581	0.8254573170731707	0.12697861478864644	631	229	171	1083	layer30_mean	catboost	1	0
2113	0.8130619971604354	0.6122373683060451	0.8978273018772988	0.9344712972668848	0.8444976076555024	0.7671711292200233	0.8411437648927721	0.1283722097030713	659	200	195	1059	layer30_mean	catboost	2	0
2113	0.8135352579271179	0.6126298488416139	0.9009567521300872	0.9357902537051639	0.8484848484848485	0.7625145518044237	0.8391167192429022	0.12629138508940993	655	204	190	1064	layer30_mean	catboost	3	0
2113	0.8111689540937056	0.6066544891594591	0.9037797657714508	0.9373575947886592	0.8547486033519553	0.7476744186046511	0.8315217391304348	0.12474259883578799	643	217	182	1071	layer30_mean	catboost	4	0
2114	0.9276253547776726	0.8503208343351298	0.9799608694039539	0.9856564805485832	0.9354066985645934	0.9162790697674419	0.9421686746987952	0.0725586857650877	788	72	81	1173	layer36_mean	rbf_svm	0	0
2114	0.9314096499526963	0.8578571290937059	0.9828483735766477	0.9884551154169898	0.9425837320574163	0.9151162790697674	0.9418326693227091	0.06975933011938068	787	73	72	1182	layer36_mean	rbf_svm	1	0
2113	0.9384761003312825	0.8731291024899774	0.9846553891342814	0.9901142892283114	0.9401913875598086	0.9359720605355064	0.9554294975688817	0.0681256234581383	804	55	75	1179	layer36_mean	rbf_svm	2	0
2113	0.942262186464742	0.880800679089441	0.9865046519356916	0.9910485288145812	0.9449760765550239	0.9383003492433062	0.9571890145395799	0.06643253467758928	806	53	69	1185	layer36_mean	rbf_svm	3	0
2113	0.9413156649313772	0.8781977222738764	0.9844466304125912	0.9888685487884604	0.9561053471667997	0.9197674418604651	0.9455406471981057	0.06676295785979543	791	69	55	1198	layer36_mean	rbf_svm	4	0
2114	0.9176915799432356	0.8302383758653626	0.9775499796001631	0.983975195855407	0.9226475279106858	0.9104651162790698	0.9376012965964343	0.05745157474258302	783	77	97	1157	layer36_mean	catboost	0	0
2114	0.924314096499527	0.8433018640330326	0.9794323281777382	0.9860522532154727	0.9346092503987241	0.9093023255813953	0.9376	0.05528630710353525	782	78	82	1172	layer36_mean	catboost	1	0
2113	0.9280643634642688	0.8513805156678868	0.9819056318964413	0.9882501720980226	0.9338118022328549	0.919674039580908	0.9443548387096774	0.05208270011845496	790	69	83	1171	layer36_mean	catboost	2	0
2113	0.9252247988641742	0.846141561314868	0.9823865144923903	0.9881845456659863	0.9258373205741627	0.9243306169965075	0.9469820554649266	0.05165391806290866	794	65	93	1161	layer36_mean	catboost	3	0
2113	0.9200189304306673	0.8342189560969544	0.9802798864121458	0.9867566819219339	0.9337589784517158	0.9	0.9315286624203821	0.05407801685749696	774	86	83	1170	layer36_mean	catboost	4	0
2114	0.8145695364238411	0.6169882756620974	0.9036107711138311	0.93628676876195	0.8373205741626795	0.7813953488372093	0.8481421647819063	0.13512888273758408	672	188	204	1050	layers24_30_36_fixed_mean	rbf_svm	0	0
2114	0.8145695364238411	0.6143869150432326	0.9126608805311376	0.9438631964628583	0.8524720893141946	0.7593023255813953	0.8377742946708464	0.130581914760581	653	207	185	1069	layers24_30_36_fixed_mean	rbf_svm	1	0
2113	0.8206341694273545	0.6270884116217436	0.9144214648166611	0.9441037246407362	0.8564593301435407	0.7683352735739232	0.8436763550667714	0.13076722143586725	660	199	180	1074	layers24_30_36_fixed_mean	rbf_svm	2	0
2113	0.8338854708944629	0.655677697368803	0.9192163656044545	0.9485444411116426	0.8604465709728868	0.7951105937136205	0.8597609561752988	0.1263184529847517	683	176	175	1079	layers24_30_36_fixed_mean	rbf_svm	3	0
2113	0.820160908660672	0.6250966696949887	0.9154717051170214	0.9443340569677384	0.86512370311253	0.7546511627906977	0.8370656370656371	0.1292045932872829	649	211	169	1084	layers24_30_36_fixed_mean	rbf_svm	4	0
2114	0.7951750236518449	0.5758432177396702	0.8880651682059271	0.9272254541727856	0.8261562998405104	0.75	0.8281374900079936	0.13426397603806228	645	215	218	1036	layers24_30_36_fixed_mean	catboost	0	0
2114	0.8197729422894986	0.6242685015084005	0.8992572604873708	0.933956846945603	0.8644338118022329	0.7546511627906977	0.8370656370656371	0.12737723887412183	649	211	170	1084	layers24_30_36_fixed_mean	catboost	1	0
2113	0.8106956933270232	0.6066023526850061	0.8946867114871526	0.9322064880326814	0.84688995215311	0.7578579743888242	0.8362204724409449	0.13016477636510806	651	208	192	1062	layers24_30_36_fixed_mean	catboost	2	0
2113	0.8182678655939423	0.6245523196076858	0.9025776421156606	0.9373739123128579	0.8405103668261563	0.7857974388824214	0.851373182552504	0.12508466342100633	675	184	200	1054	layers24_30_36_fixed_mean	catboost	3	0
2113	0.8026502602934217	0.5887730905478902	0.9016769056589766	0.9357021826933998	0.8483639265762171	0.736046511627907	0.8240310077519379	0.12621293024962515	633	227	190	1063	layers24_30_36_fixed_mean	catboost	4	0
2114	0.9172185430463576	0.829036905216612	0.9751418715923	0.9833873136921396	0.9242424242424242	0.9069767441860465	0.9354317998385795	0.0805354748715892	780	80	95	1159	layers24_30_36_concat	rbf_svm	0	0
2114	0.924787133396405	0.8445224097693022	0.9803160120173584	0.9869856580085535	0.9322169059011164	0.913953488372093	0.9404666130329847	0.07513885810505805	786	74	85	1169	layers24_30_36_concat	rbf_svm	1	0
2113	0.9299574065309986	0.8554520835485239	0.9808241102279458	0.9874459732353738	0.9338118022328549	0.9243306169965075	0.9474110032362459	0.07557550566138305	794	65	83	1171	layers24_30_36_concat	rbf_svm	2	0
2113	0.9280643634642688	0.85116344287787	0.9814646681260246	0.9876254032035298	0.9362041467304625	0.9161816065192084	0.942215088282504	0.07496674565665765	787	72	80	1174	layers24_30_36_concat	rbf_svm	3	0
2113	0.926171320397539	0.84699755505483	0.9780220494070047	0.9847990016800627	0.9385474860335196	0.9081395348837209	0.9370517928286852	0.07743233201567393	781	79	77	1176	layers24_30_36_concat	rbf_svm	4	0
2114	0.9214758751182592	0.8382402759539428	0.977683505804681	0.9833105414733613	0.9242424242424242	0.9174418604651163	0.9422764227642276	0.05627138635020358	789	71	95	1159	layers24_30_36_concat	catboost	0	0
2114	0.923368022705771	0.8414781410945364	0.9792997292385297	0.9859476674473375	0.9322169059011164	0.9104651162790698	0.9382022471910112	0.05561477080669297	783	77	85	1169	layers24_30_36_concat	catboost	1	0
2113	0.9233317557974444	0.8415967467452401	0.9805456067939986	0.9873045923092856	0.9298245614035088	0.9138533178114087	0.9403225806451613	0.0543221350181177	785	74	88	1166	layers24_30_36_concat	catboost	2	0
2113	0.9285376242309512	0.8528295899457913	0.9819223421024781	0.9880402087409252	0.9298245614035088	0.9266589057043073	0.9487388120423108	0.05242027320101182	796	63	88	1166	layers24_30_36_concat	catboost	3	0
2113	0.9238050165641268	0.8420667844675465	0.9807244009725496	0.9871316649321485	0.936951316839585	0.9046511627906977	0.9347133757961783	0.05321208241907633	778	82	79	1174	layers24_30_36_concat	catboost	4	0
