fold	target_ratio	system	source_prior	estimated_prior	iterations	boundary	before_n	before_positive	before_ACC	before_MCC	before_Brier	before_log_loss	before_AP	before_AUROC	before_TN	before_FP	before_FN	before_TP	after_n	after_positive	after_ACC	after_MCC	after_Brier	after_log_loss	after_AP	after_AUROC	after_TN	after_FP	after_FN	after_TP
1	0.7	ESMCHalo	0.5932804923562103	0.7082458654202147	12	False	500	350	0.952	0.8861878939468679	0.03679723212733661	0.1293035197872237	0.9949218838459719	0.9885523809523811	139	11	13	337	500	350	0.952	0.8849998860545177	0.03658938344439996	0.12780466332020377	0.9949218838459719	0.9885523809523811	136	14	10	340
1	0.7	DeepSaltPro	0.5932804921331291	0.702569604159231	13	False	500	350	0.924	0.8214200836360901	0.053107323476545745	0.18289576984152695	0.9899097879857925	0.9768571428571428	134	16	22	328	500	350	0.928	0.8269350411808646	0.05229793485890738	0.17763101640559364	0.9899097879857925	0.9768571428571428	129	21	15	335
2	0.3	ESMCHalo	0.5932103149148711	0.29514632603833063	12	False	500	150	0.924	0.8278938940867551	0.052670889052604586	0.17658498924137206	0.9699777935716939	0.9839809523809523	322	28	10	140	500	150	0.936	0.8466050970716753	0.043524315334322994	0.14606950885567424	0.9699777935716939	0.9839809523809523	336	14	18	132
2	0.3	DeepSaltPro	0.5932103146136257	0.23257500846627427	18	False	500	150	0.926	0.8331453097142203	0.05505321363029621	0.1811237769515653	0.9597531207717577	0.9801523809523809	322	28	9	141	500	150	0.898	0.7554161620503304	0.06325712458177063	0.20468232113295973	0.9597531207717577	0.9801523809523809	347	3	48	102
2	0.5	ESMCHalo	0.5932103149148711	0.49098812529798735	12	False	500	250	0.93	0.8603373183561569	0.05420210664101924	0.18582986720510336	0.9816751891354282	0.97976	229	21	14	236	500	250	0.94	0.8801126616314948	0.0532971608036539	0.18513911436253047	0.9816751891354282	0.97976	237	13	17	233
2	0.5	DeepSaltPro	0.5932103146136257	0.4237697888759853	15	False	500	250	0.89	0.7805059318188731	0.07849544064299764	0.25441454419145015	0.9651310845730867	0.9630399999999999	227	23	32	218	500	250	0.876	0.7582371313781802	0.08800385675407106	0.2890810120893883	0.9651310845730867	0.9630399999999999	235	15	47	203
2	0.7	ESMCHalo	0.5932103149148711	0.7103195016103512	12	False	500	350	0.928	0.8292593354492105	0.0468211339546815	0.15027325869433178	0.9938875390355546	0.9856571428571429	133	17	19	331	500	350	0.928	0.8274077025802541	0.04616770346245539	0.14957688018935528	0.9938875390355546	0.9856571428571429	130	20	16	334
2	0.7	DeepSaltPro	0.5932103146136257	0.6479587612670934	15	False	500	350	0.922	0.8226436718740061	0.061606463795685226	0.21105589496164157	0.991123802654521	0.9790857142857143	139	11	28	322	500	350	0.92	0.8161938270130722	0.057707796300219195	0.19693520416306615	0.991123802654521	0.9790857142857143	137	13	27	323
3	0.3	ESMCHalo	0.5932103146219403	0.2836922202703486	11	False	500	150	0.946	0.8743720059668845	0.040624309637982206	0.14474612073097592	0.9742631117184394	0.9869714285714286	332	18	9	141	500	150	0.956	0.8942864249947949	0.036878550245224774	0.13438126083283772	0.9742631117184394	0.9869714285714286	343	7	15	135
3	0.3	DeepSaltPro	0.5932103146425275	0.31823525110605566	11	False	500	150	0.916	0.8166959939435038	0.06393554928004098	0.21662302325132052	0.9652650222786138	0.9790285714285714	315	35	7	143	500	150	0.93	0.8343644817667903	0.049210475686364746	0.17333133861439673	0.9652650222786138	0.9790285714285714	331	19	16	134
